太极	太极 ☯
阳爻	阳爻 ⚊
阴爻	阴爻 ⚋
老阳	老阳 ⚌
少阴	少阴 ⚍
少阳	少阳 ⚎
老阴	老阴 ⚏
八卦	八卦 ☰☱☲☳☴☵☶☷
乾	乾 ☰
兑	兑 ☱
离	离 ☲
震	震 ☳
巽	巽 ☴
坎	坎 ☵
艮	艮 ☶
坤	坤 ☷
乾卦	乾卦 ☰
兑卦	兑卦 ☱
离卦	离卦 ☲
震卦	震卦 ☳
巽卦	巽卦 ☴
坎卦	坎卦 ☵
艮卦	艮卦 ☶
坤卦	坤卦 ☷
乾为天	乾为天 ䷀
坤为地	坤为地 ䷁
水雷屯	水雷屯 ䷂
山水蒙	山水蒙 ䷃
水天需	水天需 ䷄
天水讼	天水讼 ䷅
地水师	地水师 ䷆
水地比	水地比 ䷇
风天小畜	风天小畜 ䷈
天泽履	天泽履 ䷉
地天泰	地天泰 ䷊
天地否	天地否 ䷋
天火同人	天火同人 ䷌
火天大有	火天大有 ䷍
地山谦	地山谦 ䷎
雷地豫	雷地豫 ䷏
泽雷随	泽雷随 ䷐
山风蛊	山风蛊 ䷑
地泽临	地泽临 ䷒
风地观	风地观 ䷓
火雷噬嗑	火雷噬嗑 ䷔
山火贲	山火贲 ䷕
山地剥	山地剥 ䷖
地雷复	地雷复 ䷗
天雷无妄	天雷无妄 ䷘
山天大畜	山天大畜 ䷙
山雷颐	山雷颐 ䷚
泽风大过	泽风大过 ䷛
坎为水	坎为水 ䷜
离为火	离为火 ䷝
泽山咸	泽山咸 ䷞
雷风恒	雷风恒 ䷟
天山遁	天山遁 ䷠
雷天大壮	雷天大壮 ䷡
火地晋	火地晋 ䷢
地火明夷	地火明夷 ䷣
风火家人	风火家人 ䷤
火泽睽	火泽睽 ䷥
水山蹇	水山蹇 ䷦
雷水解	雷水解 ䷧
山泽损	山泽损 ䷨
风雷益	风雷益 ䷩
泽天夬	泽天夬 ䷪
天风姤	天风姤 ䷫
泽地萃	泽地萃 ䷬
地风升	地风升 ䷭
泽水困	泽水困 ䷮
水风井	水风井 ䷯
泽火革	泽火革 ䷰
火风鼎	火风鼎 ䷱
震为雷	震为雷 ䷲
艮为山	艮为山 ䷳
风山渐	风山渐 ䷴
雷泽归妹	雷泽归妹 ䷵
雷火丰	雷火丰 ䷶
火山旅	火山旅 ䷷
巽为风	巽为风 ䷸
兑为泽	兑为泽 ䷹
风水涣	风水涣 ䷺
水泽节	水泽节 ䷻
风泽中孚	风泽中孚 ䷼
雷山小过	雷山小过 ䷽
水火既济	水火既济 ䷾
火水未济	火水未济 ䷿
小畜	小畜 ䷈
同人	同人 ䷌
大有	大有 ䷍
噬嗑	噬嗑 ䷔
无妄	无妄 ䷘
大畜	大畜 ䷙
大过	大过 ䷛
大壮	大壮 ䷡
明夷	明夷 ䷣
家人	家人 ䷤
归妹	归妹 ䷵
中孚	中孚 ䷼
小过	小过 ䷽
既济	既济 ䷾
未济	未济 ䷿
白羊座	白羊座 ♈
金牛座	金牛座 ♉
双子座	双子座 ♊
巨蟹座	巨蟹座 ♋
狮子座	狮子座 ♌
处女座	处女座 ♍
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
双鱼座	双鱼座 ♓
太阳	太阳 ☉
月亮	月亮 ☽
水星	水星 ☿
金星	金星 ♀
火星	火星 ♂
木星	木星 ♃
土星	土星 ♄
天王星	天王星 ♅
海王星	海王星 ♆
冥王星	冥王星 ♇
北交点	北交点 ☊
南交点	南交点 ☋
凯龙星	凯龙星 ⚷
